intervention_type,elapsed_time,mean_episode_length,frames_per_second,total_timesteps,iteration,mean_episode_reward,stage,policy_std,learning_rate,policy_gradient_loss,approx_kl_divergence,policy_loss,clip_fraction,value_loss,clip_range,explained_variance,num_updates,entropy_loss,stage,intervention_type
none,177,501.0,207,5296128,9,2.7879167,5,5.664328098297119,0.00025,-0.0946927868729593,0.05487617,-0.6565254330635071,0.5297526041666667,0.03348782271399,0.2,0.6525235176086426,2055.0,-28.3280136436224,5,none
none,198,501.0,206,5300224,10,3.0169713,5,5.754213333129883,0.00025,-0.1030288602562601,0.058571033,-0.675268292427063,0.5614430745442708,0.0189273202044811,0.2,0.8554834276437759,2070.0,-28.44060962100824,5,none
none,218,501.0,206,5304320,11,3.0747519,5,5.8721184730529785,0.00025,-0.0973508192624043,0.06334608,-0.6769577264785767,0.5507853190104167,0.0218042519123021,0.2,0.8365285247564316,2085.0,-28.6203874617815,5,none
none,239,501.0,205,5308416,12,3.0901954,5,5.903326511383057,0.00025,-0.0953001463647524,0.054483406,-0.6692165732383728,0.5039011637369791,0.0261172229477476,0.2,0.8347363770008087,2100.0,-28.70918244322141,5,none
none,260,501.0,204,5312512,13,3.015762,5,5.9395432472229,0.00025,-0.0838847607158337,0.2018995,-0.6683212518692017,0.5027567545572916,0.0325022553171341,0.2,0.8023112565279007,2115.0,-28.75806066890557,5,none
none,9,501.0,449,5210112,1,3.3058832,4,,,,,,,,,,,,4,none
none,29,501.0,274,5214208,2,3.3869708,4,4.218222141265869,0.00025,-0.0963027303131336,0.11245981,-0.6022236347198486,0.5719991048177083,0.0507690298128485,0.2,0.7870039492845535,1755.0,-25.685970267653467,4,none
none,50,501.0,242,5218304,3,3.4567394,4,4.28533935546875,0.00025,-0.085146451323817,0.050990958,-0.5986958146095276,0.4833201090494791,0.0442022999098602,0.2,0.731764405965805,1770.0,-25.833163432280223,4,none
none,71,501.0,229,5222400,4,3.3387985,4,4.354439735412598,0.00025,-0.0973190059950866,0.06013698,-0.6181045770645142,0.5384979248046875,0.0163402628604671,0.2,0.8975201696157455,1785.0,-25.956308062871297,4,none
none,92,501.0,222,5226496,5,3.2923324,4,4.386329174041748,0.00025,-0.0901543874776204,0.07020957,-0.6178439855575562,0.5222096761067708,0.0359227387709931,0.2,0.7127573788166046,1800.0,-26.069764856497446,4,none
none,112,501.0,217,5230592,6,3.3514152,4,4.432518005371094,0.00025,-0.1001917740160327,0.07084891,-0.6231715083122253,0.5602701822916667,0.0276990199708961,0.2,0.721749871969223,1815.0,-26.141521407167115,4,none
none,133,501.0,214,5234688,7,3.302532,4,4.518992900848389,0.00025,-0.0992257075141727,0.06470682,-0.634185254573822,0.5800089518229167,0.0364155527301287,0.2,0.8128291517496109,1830.0,-26.29756948451201,4,none
none,154,501.0,212,5238784,8,3.292623,4,4.5850090980529785,0.00025,-0.0931672779086511,0.057044856,-0.6093904972076416,0.5296152750651042,0.0321966002947495,0.2,0.8444698601961136,1845.0,-26.451828707257903,4,none
none,175,501.0,210,5242880,9,3.3176866,4,4.665930271148682,0.00025,-0.095277416864216,0.06279492,-0.6293675899505615,0.534710693359375,0.0305449055240994,0.2,0.7703059613704681,1860.0,-26.584053055445352,4,none
none,196,501.0,208,5246976,10,3.412297,4,4.7042622566223145,0.00025,-0.0971236449549906,0.05090709,-0.6366428136825562,0.5142110188802084,0.0239806170580171,0.2,0.8363828659057617,1875.0,-26.67438686192036,4,none
none,217,501.0,207,5251072,11,3.2478623,4,4.737004280090332,0.00025,-0.104339740659149,0.054746643,-0.6461793780326843,0.5508351643880208,0.026532786199823,0.2,0.81531822681427,1890.0,-26.741736061374347,4,none
none,237,501.0,206,5255168,12,3.1271157,4,4.832296848297119,0.00025,-0.0833873748936942,0.071112275,-0.6124820113182068,0.572509765625,0.0425979303652032,0.2,0.63142529129982,1905.0,-26.903231479724248,4,none
none,258,501.0,205,5259264,13,3.2582252,4,4.930051803588867,0.00025,-0.0950714139059224,0.07635825,-0.6340773701667786,0.5864898681640625,0.049704471619528,0.2,0.6475962102413177,1920.0,-27.044662626584373,4,none
none,8,501.0,458,5316608,1,3.1219754,6,,,,,,,,,,,,6,none
none,30,501.0,268,5320704,2,3.0745497,6,6.066850662231445,0.00025,-0.0834799894740475,0.04787668,-0.6550474762916565,0.4713185628255208,0.0433819247002247,0.2,0.7927976548671722,2145.0,-28.94004986484845,6,none
none,51,501.0,237,5324800,3,3.1162436,6,6.102491855621338,0.00025,-0.0918738553938358,1.2286733,-0.6595687866210938,0.5648345947265625,0.0991994106928662,0.2,0.7170475423336029,2160.0,-28.99791753292084,6,none
none,72,501.0,224,5328896,4,3.090251,6,6.246471881866455,0.00025,-0.0763704122800845,0.54093224,-0.665550708770752,0.5661712646484375,0.0468814043269958,0.2,0.62305548787117,2175.0,-29.1722460269928,6,none
none,93,501.0,217,5332992,5,3.2186112,6,6.361536026000977,0.00025,-0.0914483763316335,0.39364994,-0.6702578067779541,0.5786539713541666,0.0688297733111539,0.2,0.7048395574092865,2190.0,-29.347419372200967,6,none
none,115,501.0,213,5337088,6,3.2377338,6,6.421397686004639,0.00025,-0.0917340418032836,0.083140366,-0.6809267997741699,0.526824951171875,0.0337461909182214,0.2,0.4930142760276794,2205.0,-29.43435563246409,6,none
none,136,501.0,210,5341184,7,3.2579148,6,6.520163059234619,0.00025,-0.0868027147829707,0.05220184,-0.6754298210144043,0.5208445231119792,0.0423925735939216,0.2,0.7581341713666916,2220.0,-29.5681274831295,6,none
none,157,501.0,207,5345280,8,3.2049232,6,6.640374660491943,0.00025,-0.0767789824914264,0.061654683,-0.6586328744888306,0.4865376790364583,0.0574381218476143,0.2,0.5529177784919739,2235.0,-29.726778028408685,6,none
none,178,501.0,206,5349376,9,3.0871465,6,6.7937493324279785,0.00025,-0.0839742607068425,0.0707498,-0.6780515909194946,0.568096923828125,0.0729373007799343,0.2,0.6461929380893707,2250.0,-29.91880557735761,6,none
none,199,501.0,204,5353472,10,2.9315543,6,6.92611837387085,0.00025,-0.0867997313627711,0.07643552,-0.6819302439689636,0.5471364339192708,0.0543758189684012,0.2,0.5013430416584015,2265.0,-30.081067153811453,6,none
none,221,501.0,203,5357568,11,2.7094054,6,7.055849552154541,0.00025,-0.1064895909352344,0.07001248,-0.7163801789283752,0.5452189127604167,0.0357458067155675,0.2,0.7779871970415115,2280.0,-30.23147251407305,6,none
none,242,501.0,202,5361664,12,2.58428,6,7.194931983947754,0.00025,-0.1129532018569686,0.09488816,-0.7328636646270752,0.6537109375,0.0481140377261908,0.2,0.6964021623134613,2295.0,-30.41011020143827,6,none
none,263,501.0,202,5365760,13,2.6433587,6,7.279181003570557,0.00025,-0.0792510247255753,0.5621501,-0.6645334362983704,0.4913167317708333,0.1098051724538284,0.2,0.7204093337059021,2310.0,-30.54239921867848,6,none
